Date,Note,Location,GPS,Source
"March 08, 2013 at 08:43PM",,BTS อุดมสุข (Udom Suk) E12,"13.67981670,100.60945630",historical-xlsx
"March 09, 2013 at 07:33PM",,The Coffee Club,"13.72027169,100.58429283",historical-xlsx
"March 10, 2013 at 11:56AM",,Pro Wash Carcare,"13.72985330,100.59409895",historical-xlsx
"March 10, 2013 at 04:38PM",,CentralWorld (เซ็นทรัลเวิลด์),"13.74585696,100.53943992",historical-xlsx
"March 11, 2013 at 07:44PM",,ร.พ.สัตว์ เจริญสุข,"13.73137600,100.58529300",historical-xlsx
"March 13, 2013 at 04:54PM",,โรงพยาบาลสมิติเวช สุขุมวิท (Samitivej Sukhumvit Hospital),"13.73450761,100.57661533",historical-xlsx
"March 13, 2013 at 08:09PM",,BREW Beers & Ciders,"13.73337844,100.58143474",historical-xlsx
"March 15, 2013 at 09:16AM",,Au Bon Pain (โอ บอง แปง),"13.73501900,100.57670300",historical-xlsx
"March 15, 2013 at 03:29PM",,Siam Paragon (สยามพารากอน),"13.74602371,100.53459048",historical-xlsx
"March 16, 2013 at 10:03AM",,Au Bon Pain (โอ บอง แปง),"13.73501900,100.57670300",historical-xlsx
"March 19, 2013 at 06:45PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"March 20, 2013 at 11:59AM",,GPF Building,"13.73722444,100.54708412",historical-xlsx
"March 20, 2013 at 05:14PM",,Moom-Muum Park,"13.73723818,100.56051135",historical-xlsx
"March 20, 2013 at 07:39PM",,"The Westin Grande Sukhumvit, Bangkok","13.73787951,100.55979856",historical-xlsx
"March 23, 2013 at 07:35PM",,Sizzler (ซิซซ์เลอร์),"13.72136500,100.58315100",historical-xlsx
"March 24, 2013 at 01:20PM",,Plaza Lagoon,"13.81916110,100.59219360",historical-xlsx
"March 24, 2013 at 01:21PM",,Praewa Hair Love U,"13.81907775,100.59204340",historical-xlsx
"March 26, 2013 at 09:42AM",,TrueCoffee (ทรูคอฟฟี่),"13.74559642,100.53357124",historical-xlsx
"March 26, 2013 at 06:44PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"March 28, 2013 at 06:48PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"March 29, 2013 at 10:03AM",,The Coffee Club,"13.72027169,100.58429283",historical-xlsx
"March 29, 2013 at 07:04PM",,Superbdog,"13.73898100,100.55469800",historical-xlsx
"March 30, 2013 at 05:29PM",,Gossip Thonglor,"13.73446634,100.58142374",historical-xlsx
"March 31, 2013 at 12:02AM",,The Dubliner Irish Pub,"13.73213137,100.56835413",historical-xlsx
"April 02, 2013 at 09:02AM",,Pro Wash Carcare,"13.72985330,100.59409895",historical-xlsx
"April 04, 2013 at 02:01PM",,CentralWorld (เซ็นทรัลเวิลด์),"13.74585696,100.53943992",historical-xlsx
"April 04, 2013 at 02:31PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"April 05, 2013 at 08:45PM",,Scoozi Pizza (สกูซี่ พิซซ่า),"13.72129300,100.58451700",historical-xlsx
"April 06, 2013 at 11:21AM",,The Crystal (เดอะ คริสตัล),"13.81125998,100.61913017",historical-xlsx
"April 06, 2013 at 12:07PM",,Cha Cha Cha,"13.73420714,100.58249552",historical-xlsx
"April 06, 2013 at 12:08PM",,Mother Care,"13.73479943,100.58206558",historical-xlsx
"April 09, 2013 at 07:46PM",,Tesco Lotus (เทสโก้ โลตัส),"13.80161605,100.61391950",historical-xlsx
"April 11, 2013 at 06:04PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"April 13, 2013 at 04:46PM",,Flow House Bangkok,"13.72046216,100.56734344",historical-xlsx
"April 13, 2013 at 06:29PM",,V8 Diner,"13.73800874,100.55848528",historical-xlsx
"April 14, 2013 at 02:32AM",,Pantaree Restaurant,"13.73826000,100.55855200",historical-xlsx
"April 14, 2013 at 12:54PM",,CheeseCake House & Restaurant,"13.72130958,100.58314958",historical-xlsx
"April 15, 2013 at 03:34PM",,บ้านใร่ใบกระเพรา (Banrie Bai Ka Prao),"13.72030531,100.58457314",historical-xlsx
"April 15, 2013 at 08:22PM",,เจียง ลูกชิ้นปลา (Jiang Fish Ball),"13.72658825,100.59252682",historical-xlsx
"April 16, 2013 at 10:32AM",,Suvarnabhumi Airport (BKK) ท่าอากาศยานสุวรรณภูมิ,"13.69377467,100.75115204",historical-xlsx
"April 16, 2013 at 02:21PM",,บ้านใร่ใบกระเพรา (Banrie Bai Ka Prao),"13.72030531,100.58457314",historical-xlsx
"April 16, 2013 at 06:13PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"April 17, 2013 at 10:31AM",,The Imperial Queen's Park Hotel,"13.73040129,100.56539297",historical-xlsx
"April 17, 2013 at 10:32AM",,อุทยานเบญจสิริ (Benchasiri Park),"13.73072438,100.56744218",historical-xlsx
"April 18, 2013 at 01:27PM",,Saban-Nga Restaurant :: Maeklong Riverside,"13.40923100,99.96253100",historical-xlsx
"April 18, 2013 at 03:19PM",,ศูนย์อนุรักษ์แมวไทยโบราณ,"13.43123974,99.94713253",historical-xlsx
"April 18, 2013 at 03:49PM",,ตลาดน้ำอัมพวา (Amphawa Floating Market),"13.42500400,99.95501600",historical-xlsx
"April 18, 2013 at 04:35PM",,ตลาดน้ำท่าคา (Tha Kha Floating Market),"13.47176973,99.99501206",historical-xlsx
"April 19, 2013 at 03:47PM",,Don Mueang International Airport (DMK) ท่าอากาศยานดอนเมือง,"13.91865525,100.60245037",historical-xlsx
"April 19, 2013 at 05:40PM",,Chiang Mai International Airport (CNX) ท่าอากาศยานเชียงใหม่,"18.76962491,98.96835898",historical-xlsx
"April 19, 2013 at 06:55PM",,De Naga Chiang Mai,"18.78632771,98.99222063",historical-xlsx
"April 19, 2013 at 07:41PM",,Chiang Mai Night Safari (เชียงใหม่ไนท์ซาฟารี),"18.74196836,98.91770829",historical-xlsx
"April 19, 2013 at 11:19PM",,John's Place,"18.78606214,98.99302442",historical-xlsx
"April 20, 2013 at 01:48PM",,John's Place,"18.78606214,98.99302442",historical-xlsx
"April 20, 2013 at 01:52PM",,Queen Sirikit Botanic Garden,"18.88666779,98.86257195",historical-xlsx
"April 20, 2013 at 02:25PM",,Monkey Centre,"18.91897800,98.91555500",historical-xlsx
"April 20, 2013 at 04:27PM",,Mickey Cafe,"18.78403400,98.99047300",historical-xlsx
"April 21, 2013 at 12:46PM",,คุณเชิญ (Khun Churn),"18.79555137,98.96670842",historical-xlsx
"April 21, 2013 at 07:04PM",,Terrace Bar And Cuisine at Parasol Inn,"18.78807800,98.98786800",historical-xlsx
"April 22, 2013 at 10:25AM",,De Naga Chiang Mai,"18.78632771,98.99222063",historical-xlsx
"April 22, 2013 at 12:55PM",,Fondcome Village Resort Chiang Mai,"18.73828000,98.89858200",historical-xlsx
"April 22, 2013 at 05:50PM",,Mae Rim Lagoon,"18.91210401,98.92918869",historical-xlsx
"April 23, 2013 at 10:13AM",,Sala Café (ศาลากาแฟ),"18.90446695,98.92150256",historical-xlsx
"April 23, 2013 at 12:54PM",,ดอยสุเทพ (Doi Suthep),"18.80442365,98.92006891",historical-xlsx
"April 23, 2013 at 02:28PM",,CentralPlaza Chiangmai Airport (เซ็นทรัลพลาซา เชียงใหม่ แอร์พอร์ต),"18.76904278,98.97467136",historical-xlsx
"April 23, 2013 at 03:09PM",,Fuji (ฟูจิ),"18.76955069,98.97496104",historical-xlsx
"April 24, 2013 at 07:37PM",,Smiling Albino,"13.75410200,100.62989700",historical-xlsx
"April 26, 2013 at 03:59PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"April 27, 2013 at 10:12AM",,Roast (โรสท์),"13.73359951,100.58155565",historical-xlsx
"April 27, 2013 at 02:14PM",,Terminal 21 (เทอร์มินอล ทเวนตี้วัน),"13.73727986,100.56050062",historical-xlsx
"April 27, 2013 at 03:18PM",,Moom-Muum Park,"13.73723818,100.56051135",historical-xlsx
"April 28, 2013 at 10:29AM",,ตลาดนัดสวนรถไฟ (Rot Fai Park Flea Market),"13.81662944,100.55308700",historical-xlsx
"April 28, 2013 at 02:11PM",,Hello Mango 2012,"13.79881900,100.54894300",historical-xlsx
"April 30, 2013 at 02:20PM",,บ้านใร่ใบกระเพรา (Banrie Bai Ka Prao),"13.72030531,100.58457314",historical-xlsx
"April 30, 2013 at 06:19PM",,DoubleTree by Hilton Sukhumvit,"13.72825429,100.57032824",historical-xlsx
"May 01, 2013 at 06:30PM",,Sizzler (ซิซซ์เลอร์),"13.72136500,100.58315100",historical-xlsx
"May 03, 2013 at 07:07PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"May 03, 2013 at 07:52PM",,Sizzler (ซิซซ์เลอร์),"13.74372000,100.52967200",historical-xlsx
"May 06, 2013 at 12:57PM",,Doi Chaang Coffe,"13.72976553,100.58590651",historical-xlsx
"May 09, 2013 at 08:59PM",,Kuppadeli,"13.74532286,100.56248546",historical-xlsx
"May 11, 2013 at 12:33PM",,Kidzoona,"13.71776031,100.58549105",historical-xlsx
"May 11, 2013 at 02:03PM",,Kobashi (香ばしい),"13.71892267,100.58495789",historical-xlsx
"May 14, 2013 at 06:05PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"May 16, 2013 at 07:15PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"May 17, 2013 at 09:48PM",,Tenderloins Sports Bar & Steak house,"13.73372588,100.56743687",historical-xlsx
"May 18, 2013 at 10:41AM",,Fun-arium,"13.72004135,100.57017803",historical-xlsx
"May 18, 2013 at 02:26PM",,OOTOYA (โอโตยะ),"13.72081263,100.56950212",historical-xlsx
"May 19, 2013 at 06:17PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"May 21, 2013 at 07:11PM",,S&P (เอสแอนด์พี),"13.72701866,100.58530417",historical-xlsx
"May 22, 2013 at 07:21PM",,CheeseCake House & Restaurant,"13.72130958,100.58314958",historical-xlsx
"May 24, 2013 at 06:44PM",,The Robin Hood,"13.73168582,100.56812614",historical-xlsx
"May 25, 2013 at 12:57PM",,ตี๋หยก กาแฟ-ขนมปังปิ้ง@คลองถม,"13.74432752,100.50753445",historical-xlsx
"May 25, 2013 at 03:36PM",,Flann O'brien's,"13.91449700,100.54826600",historical-xlsx
"May 26, 2013 at 02:36PM",,Playtime,"13.72326830,100.58413893",historical-xlsx
"May 26, 2013 at 04:27PM",,CentralWorld (เซ็นทรัลเวิลด์),"13.74585696,100.53943992",historical-xlsx
"May 26, 2013 at 04:29PM",,FoodLoft (ฟู้ดลอฟท์),"13.74441878,100.54461658",historical-xlsx
"May 28, 2013 at 07:23PM",,HUBBA - Coworking Space,"13.72528391,100.58769822",historical-xlsx
"May 28, 2013 at 09:07PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"May 29, 2013 at 07:44PM",,Terminal 21 (เทอร์มินอล ทเวนตี้วัน),"13.73727986,100.56050062",historical-xlsx
"May 29, 2013 at 07:45PM",,"Sheraton Grande Sukhumvit, Bangkok","13.73761337,100.55902004",historical-xlsx
"May 30, 2013 at 12:21AM",,Oskar,"13.74305355,100.55670261",historical-xlsx
"May 31, 2013 at 03:37PM",,BELLE GRAND Phra Ram 9,"13.75916266,100.56793145",historical-xlsx
"June 01, 2013 at 09:33AM",,Bangkok University International College (BUIC),"13.71159881,100.58204412",historical-xlsx
"June 02, 2013 at 03:56PM",,Bangkok University International College (BUIC),"13.71159881,100.58204412",historical-xlsx
"June 02, 2013 at 06:08PM",,Food Bazaar (ฟู้ด บาร์ซาร์),"13.68654181,100.64698419",historical-xlsx
"June 04, 2013 at 07:10PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"June 07, 2013 at 06:02PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"June 08, 2013 at 10:07AM",,Rain Hill (เรนฮิลล์),"13.72779571,100.57401896",historical-xlsx
"June 08, 2013 at 10:37AM",,The Studio,"13.72765214,100.57405907",historical-xlsx
"June 08, 2013 at 11:34AM",,Au Bon Pain (โอ บอง แปง),"13.72770712,100.57393312",historical-xlsx
"June 08, 2013 at 10:40PM",,SMITH,"13.72720700,100.57536600",historical-xlsx
"June 10, 2013 at 07:39PM",,Sizzler (ซิซซ์เลอร์),"13.72136500,100.58315100",historical-xlsx
"June 11, 2013 at 12:01PM",,State Tower (สเตททาวเวอร์ กรุงเทพ),"13.72159954,100.51688790",historical-xlsx
"June 11, 2013 at 05:10PM",,BTS ราชดำริ (Ratchadamri) S1,"13.73938509,100.53940773",historical-xlsx
"June 11, 2013 at 08:37PM",,Superbdog,"13.73898100,100.55469800",historical-xlsx
"June 13, 2013 at 08:57PM",,Opposite,"13.72651228,100.57653222",historical-xlsx
"June 14, 2013 at 08:41PM",,El Diablo's Burritos,"13.72148060,100.56500793",historical-xlsx
"June 15, 2013 at 04:12PM",,Park Lane (ปาร์คเลน),"13.72322286,100.58448225",historical-xlsx
"June 15, 2013 at 07:18PM",,Omu (โอมุ) おむ,"13.72300138,100.58403969",historical-xlsx
"June 17, 2013 at 06:46PM",,DoubleTree by Hilton Sukhumvit Bangkok,"13.72825429,100.57032824",historical-xlsx
"June 19, 2013 at 10:39AM",,BELLE GRAND Phra Ram 9,"13.75957109,100.56793145",historical-xlsx
"June 19, 2013 at 12:14PM",,SB Design Square (เอสบี ดีไซน์สแควร์),"13.77085723,100.57173438",historical-xlsx
"June 19, 2013 at 06:56PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"June 21, 2013 at 09:24PM",,Oskar,"13.74305355,100.55670261",historical-xlsx
"June 22, 2013 at 04:24PM",,The British Club Bangkok,"13.72658581,100.52370381",historical-xlsx
"June 23, 2013 at 09:14AM",,Ricky's Coffee Shop,"13.76197944,100.49321289",historical-xlsx
"June 23, 2013 at 05:52PM",,Kidzooona,"13.71875865,100.58540311",historical-xlsx
"June 25, 2013 at 06:36PM",,Bourbon St.,"13.72236563,100.58451818",historical-xlsx
"June 26, 2013 at 07:48PM",,Bangjak Gas Station,"13.69260100,100.60777500",historical-xlsx
"June 27, 2013 at 02:21PM",,Robinson (โรบินสัน),"13.75914407,100.56601524",historical-xlsx
"June 27, 2013 at 09:43PM",,OCTAVE Rooftop Lounge & Bar,"13.72316293,100.58033824",historical-xlsx
"June 29, 2013 at 01:43PM",,Centurion park condo,"13.78262327,100.54168349",historical-xlsx
"June 30, 2013 at 09:06AM",,PTT Gas Station(Bang Phai) | สถานีน้ำมัน ปตท. สาขาบางไผ่,"13.66109619,101.11862808",historical-xlsx
"June 30, 2013 at 10:45AM",,PTT Station @ ทับลาน,"14.21628024,101.89998018",historical-xlsx
"June 30, 2013 at 11:08AM",,ครัวอิ่มสุข @ วังน้ำเขียว,"14.38597500,101.80328000",historical-xlsx
"June 30, 2013 at 01:19PM",,Bonanza  International Speedway,"14.59029560,101.42675921",historical-xlsx
"June 30, 2013 at 02:28PM",,อุทยานแห่งชาติเขาใหญ่,"14.50821646,101.37884820",historical-xlsx
"June 30, 2013 at 03:37PM",,ปตท.แยกนเรศวร,"14.13446767,101.37757355",historical-xlsx
"June 30, 2013 at 05:02PM",,7 Eleven ปตท.บางน้ำเปรี้ยว,"13.86991208,101.04440370",historical-xlsx
"July 01, 2013 at 07:35PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"July 05, 2013 at 10:29PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"July 06, 2013 at 02:09PM",,KIS International School (โรงเรียนนานาชาติคิซ),"13.77135711,100.58940411",historical-xlsx
"July 10, 2013 at 03:45PM",,BELLE GRAND Phra Ram 9,"13.75957109,100.56793145",historical-xlsx
"July 10, 2013 at 08:05PM",,Night Food Stall Street ศูนย์อาหาร สุขุมวิท38,"13.72312645,100.57901859",historical-xlsx
"July 11, 2013 at 07:15PM",,Night Food Stall Street ศูนย์อาหาร สุขุมวิท38,"13.72312645,100.57901859",historical-xlsx
"July 11, 2013 at 07:31PM",,Beer Vault,"13.73934578,100.55834791",historical-xlsx
"September 17, 2017 at 01:54PM",,Big C Extra (บิ๊กซี เอ็กซ์ตร้า),"13.81017723,100.56879424",foursquare-logged-in
"September 17, 2017 at 07:39PM",,Skytrain Jazz Club,"13.76131411,100.53648672",foursquare-logged-in
"September 17, 2017 at 11:52PM",,Supapong Condominium,"13.80610477,100.58147321",foursquare-logged-in
"September 18, 2017 at 04:49PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"September 18, 2017 at 08:13PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"September 20, 2017 at 12:41PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"September 22, 2017 at 07:29PM",,Pizza Pasta by Simon,"18.91598370,98.94274635",foursquare-logged-in
"September 24, 2017 at 01:35PM",,paw's cafe,"18.95370900,98.92400200",foursquare-logged-in
"September 28, 2017 at 04:51PM",,คาเฟ่ ดินดิน Cafe DinDin,"18.83618094,99.00758388",foursquare-logged-in
"September 30, 2017 at 02:04PM",,Lamona View Swimming Pool,"18.91610200,98.94262100",foursquare-logged-in
"September 30, 2017 at 02:21PM",,"Cheunjai Coffee, Food & Drinks (กาแฟชื่นใจ)","18.91574590,98.94214038",foursquare-logged-in
"September 30, 2017 at 08:16PM",,The Mellowship,"18.80562721,98.96008930",foursquare-logged-in
"October 02, 2017 at 06:35PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"October 04, 2017 at 12:45PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"October 05, 2017 at 04:03PM",,คาเฟ่ ดินดิน Cafe DinDin,"18.83618094,99.00758388",foursquare-logged-in
"October 08, 2017 at 12:58PM",,Natwat Home Café (ณัฐวัฒน์โฮมคาเฟ่),"18.79953691,99.00423671",foursquare-logged-in
"October 08, 2017 at 02:55PM",,College of Music (วิทยาลัยดุริยศิลป์),"18.79897984,99.00920569",foursquare-logged-in
"October 08, 2017 at 04:08PM",,Because of Love Cafè (เพาะรัก 24 Hrs),"18.82925281,99.01255851",foursquare-logged-in
"October 08, 2017 at 06:55PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"October 09, 2017 at 12:37PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"October 12, 2017 at 02:11PM",,Chiang Mai Immigration One Stop Service,"18.76623466,99.03716824",foursquare-logged-in
"October 12, 2017 at 02:11PM",,Promenada Resort Mall (พรอมเมนาดา รีสอร์ท มอลล์),"18.76621650,99.03722958",foursquare-logged-in
"October 13, 2017 at 10:57AM",,PTT Jiffy (ปตท.),"18.84855347,98.97073563",foursquare-logged-in
"October 13, 2017 at 02:55PM",,Tiang Naa (เถียงนา) Coffee and Bakery Farm,"16.91023554,99.11946067",foursquare-logged-in
"October 13, 2017 at 05:56PM",,Thai-Myanmar Friendship Bridge (สะพานมิตรภาพไทย-พม่า),"16.69062569,98.51659298",foursquare-logged-in
"October 14, 2017 at 09:38AM",,Borderline Tea Shop,"16.71488081,98.56322964",foursquare-logged-in
"October 14, 2017 at 01:36PM",,Doi Musoe Market (ตลาดดอยมูเซอ),"16.75795945,98.91596798",foursquare-logged-in
"October 14, 2017 at 02:42PM",,สะพานสมโภชกรุงรัตนโกสินทร์ 200 ปี,"16.87785833,99.12051029",foursquare-logged-in
"October 14, 2017 at 03:02PM",,Tak Treehouse,"16.88554100,99.11644900",foursquare-logged-in
"October 16, 2017 at 01:32PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"October 17, 2017 at 04:32PM",,Pizza Mania,"18.82801624,99.01193624",foursquare-logged-in
"October 18, 2017 at 03:25PM",,Rimping Supermarket (ริมปิง),"18.82372143,99.01045222",foursquare-logged-in
"October 18, 2017 at 05:03PM",,Coffee Bus (คอฟฟี่บัส),"18.82400622,99.01001542",foursquare-logged-in
"October 21, 2017 at 10:33AM",,ไปรษณีย์แม่ริม Post office,"18.91329126,98.94556808",foursquare-logged-in
"October 24, 2017 at 01:06PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"October 25, 2017 at 04:40PM",,Hidden village,"18.83326598,98.99757646",foursquare-logged-in
"October 25, 2017 at 06:47PM",,อุ้มกะต๋องVintage Barn,"18.84579600,98.99017100",foursquare-logged-in
"October 26, 2017 at 09:59AM",,Chiangmai International Convention Center (ศูนย์ประชุมและแสดงสินค้านานาชาติฯ),"18.82664812,98.96094909",foursquare-logged-in
"October 27, 2017 at 01:44PM",,Ton Nam Pla Pao (ต้นน้ำปลาเผา),"18.89998876,98.86915825",foursquare-logged-in
"October 30, 2017 at 06:00PM",,"Cheunjai Coffee, Food & Drinks (กาแฟชื่นใจ)","18.91574590,98.94214038",foursquare-logged-in
"November 02, 2017 at 06:06PM",,หมูจุ่มฮิปสเตอร์ แม่ริม,"18.91945200,98.94275800",foursquare-logged-in
"November 03, 2017 at 02:02PM",,The Duke's,"18.80223723,98.96662236",foursquare-logged-in
"November 04, 2017 at 10:45AM",,Baa Baa Black Cafe,"18.91248347,98.92929003",foursquare-logged-in
"November 05, 2017 at 02:25PM",,Paddy & Rose,"18.94349534,98.92871618",foursquare-logged-in
"November 05, 2017 at 08:08PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"November 07, 2017 at 06:06PM",,Ai Sushi The One Place สันผีเสื้อ,"18.84075222,98.99841615",foursquare-logged-in
"November 14, 2017 at 01:02PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"November 17, 2017 at 06:23PM",,mercato wine bar & eatery,"18.80207600,98.96711100",foursquare-logged-in
"November 18, 2017 at 08:48AM",,honda active riding chiang mai,"18.85004826,99.08712096",foursquare-logged-in
"November 18, 2017 at 12:32PM",,honda active riding chiang mai,"18.85004826,99.08712096",foursquare-logged-in
"November 18, 2017 at 04:53PM",,Star Avenue Lifestyle Mall (สตาร์ เอวีนิว ไลฟ์สไตล์ มอลล์),"18.80007455,99.01869056",foursquare-logged-in
"November 22, 2017 at 01:08PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"November 25, 2017 at 04:43PM",,Chiang Mai University Art Museum (หอนิทรรศการศิลปวัฒนธรรม มหาวิทยาลัยเชียงใหม่),"18.79193176,98.96320416",foursquare-logged-in
"November 26, 2017 at 12:35PM",,Krisdadoi Resort Chiang Mai,"18.77227571,98.86133326",foursquare-logged-in
"November 30, 2017 at 04:44PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"November 30, 2017 at 09:52PM",,Felix River Kwai Resort (โรงแรมเฟลิกซ์ ริเวอร์แคว รีสอร์ท),"14.04074576,99.50106212",foursquare-logged-in
"December 01, 2017 at 09:11AM",,Dheva Mantra Resort & Spa (เทวมันตร์ทรา),"14.03773900,99.48693799",foursquare-logged-in
"December 02, 2017 at 01:08PM",,Srifa Coffee,"13.97408799,99.67664190",foursquare-logged-in
"December 02, 2017 at 05:58PM",,Novotel Bangkok on Siam Square (โรงแรมโนโวเทลกรุงเทพ สยามสแควร์),"13.74500158,100.53504280",foursquare-logged-in
"December 02, 2017 at 06:40PM",,Ramathibodi Hospital (โรงพยาบาลรามาธิบดี),"13.76686455,100.52717532",foursquare-logged-in
"December 03, 2017 at 10:22AM",,Siam Paragon (สยามพารากอน),"13.74697923,100.53491235",foursquare-logged-in
"December 03, 2017 at 10:22AM",,IHOP,"13.74680727,100.53509474",foursquare-logged-in
"December 03, 2017 at 03:49PM",,EmQuartier (เอ็มควอเทียร์),"13.73137055,100.56958795",foursquare-logged-in
"December 04, 2017 at 09:26AM",,Grand Hyatt Erawan Bangkok,"13.74358499,100.54022379",foursquare-logged-in
"December 05, 2017 at 09:41AM",,The Coffee Club (เดอะคอฟฟี่คลับ),"13.72028931,100.58432912",foursquare-logged-in
"December 05, 2017 at 03:20PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"December 05, 2017 at 06:26PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"December 06, 2017 at 06:29PM",,"Cheunjai Coffee, Food & Drinks (กาแฟชื่นใจ)","18.91574590,98.94214038",foursquare-logged-in
"December 07, 2017 at 12:56PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"December 07, 2017 at 04:40PM",,Blue Café by Coffee Blue (บลูคาเฟ่),"18.90199172,98.94913175",foursquare-logged-in
"December 08, 2017 at 03:47PM",,คาเฟ่ ดินดิน Cafe DinDin,"18.83618094,99.00758388",foursquare-logged-in
"December 09, 2017 at 12:23PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"December 09, 2017 at 03:26PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"December 09, 2017 at 04:41PM",,Wat Chai Chimplee (วัดชัยฉิมพลี),"13.73496609,100.43234939",foursquare-logged-in
"December 10, 2017 at 07:43AM",,Starbucks (สตาร์บัคส์),"13.76510991,100.44408374",foursquare-logged-in
"December 10, 2017 at 09:59AM",,พุทธมณฑลสาย1 ซอยอยู่เย็น,"13.72355500,100.42737000",foursquare-logged-in
"December 10, 2017 at 06:50PM",,The Crystal SB Ratchapruek (เดอะ คริสตัล เอสบี ราชพฤกษ์),"13.80947471,100.44876338",foursquare-logged-in
"December 10, 2017 at 06:53PM",,on the table (ออน เดอะ เทเบิล),"13.81004661,100.44889626",foursquare-logged-in
"December 10, 2017 at 09:44PM",,14 resort,"13.71127400,100.43237500",foursquare-logged-in
"December 11, 2017 at 08:19AM",,Wat Chai Chimplee (วัดชัยฉิมพลี),"13.73496609,100.43234939",foursquare-logged-in
"December 11, 2017 at 12:31PM",,Morning Me,"13.16722500,100.92436000",foursquare-logged-in
"December 11, 2017 at 01:06PM",,ท่าเรือจรินทร์,"13.16963469,100.91860216",foursquare-logged-in
"December 11, 2017 at 02:14PM",,Koh Sichang (เกาะสีชัง),"13.15103289,100.81020355",foursquare-logged-in
"December 11, 2017 at 04:42PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"December 11, 2017 at 08:17PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"December 16, 2017 at 07:01PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"December 18, 2017 at 08:07PM",,CAiNiTO,"18.79863805,98.96956985",foursquare-logged-in
"December 19, 2017 at 01:09PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"December 19, 2017 at 05:16PM",,Teak Table (ทีค เทเบิล),"18.82515729,98.95853926",foursquare-logged-in
"December 23, 2017 at 04:36PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"December 23, 2017 at 08:01PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
